Dataset,c1,c2,cls_coef,density,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,hubs.mean,hubs.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,lsc,n1,n2.mean,n2.sd,n3.mean,n3.sd,n4.mean,n4.sd,t1,t2,t3,t4
pharynx-1year,0.9836517235709581,0.04415857180362315,0.5402708481824661,0.9002050949913645,0.9731358545484736,0.05325345882618584,0.4503078636277634,nan,0.35714285714285715,nan,0.9792746113989638,nan,0.9740932642487047,nan,0.7544638872653474,0.2503652477104854,0.22489959791194902,nan,0.27979274611398963,nan,0.23834196891191706,nan,0.988563451367822,0.689119170984456,0.497255228400526,0.15410427135181978,0.5077720207253886,0.5012398272498069,0.35751295336787564,0.480514081358101,0.7461139896373057,0.046632124352331605,0.010362694300518135,0.2222222222222222
pharynx-3year,0.511833847343163,0.7468797308662742,0.5389550545867007,0.8524935233160622,0.9916360036924163,0.007856457210953266,0.5679800622666688,nan,0.11428571428571428,nan,0.9067357512953368,nan,0.8808290155440415,nan,0.4870791341138867,0.22955276640266412,0.1023255813956927,nan,0.11398963730569944,nan,0.11398963730569944,nan,0.9670326720180408,0.3316062176165803,0.38835845084190346,0.16632889371084808,0.24352331606217617,0.43032451505301567,0.20207253886010362,0.40259038183250406,0.39378238341968913,0.046632124352331605,0.010362694300518135,0.2222222222222222
pharynx-status,0.8480041540341693,0.3377660761301262,0.5344636251541307,0.8895185664939551,0.9918891338389643,0.009205710303766296,0.7305201876341987,nan,0.3,nan,0.9533678756476683,nan,0.9481865284974094,nan,0.6164757571430994,0.27198950456272536,0.21544715451207586,nan,0.27461139896373055,nan,0.27461139896373055,nan,0.9864157427045022,0.5958549222797928,0.4606189560145404,0.15344357385811994,0.41450777202072536,0.4939181055512791,0.29533678756476683,0.45738046656116604,0.689119170984456,0.046632124352331605,0.010362694300518135,0.2222222222222222
plasma-retinol,0.9824740868386409,0.047251687560269984,0.5202524897348064,0.8966939642098878,0.9951462363132048,0.008415417552793531,0.7788669217427131,nan,0.008363576855654961,nan,0.9682539682539683,nan,0.8952380952380953,nan,0.7639465921825338,0.23887092735864002,0.2176100018162389,nan,0.38730158730158726,nan,0.3555555555555555,nan,0.993318216175359,0.6888888888888889,0.4969809323823483,0.07429976339909201,0.45396825396825397,0.49866873628002795,0.4,0.4906774207258686,0.9206349206349206,0.04126984126984127,0.009523809523809525,0.23076923076923078
schizo,0.9963165195589622,0.01015228426395931,0.38160211267605637,0.9010617760617761,0.9881687843266617,0.01483365633002293,0.4654297648614698,nan,0.035130440957041355,nan,0.9196428571428571,nan,0.3482142857142857,nan,0.8380659074847504,0.2973330532664354,0.15840194418632159,nan,0.2857142857142857,nan,0.2857142857142857,nan,0.9762436224489796,0.6339285714285714,0.4795342343001357,0.08391907448202623,0.4375,0.498307947770062,0.20535714285714285,0.40577792837428595,0.8303571428571429,0.11607142857142858,0.026785714285714284,0.23076923076923078
servo,0.7737069184593455,0.4578932817251866,0.47654739831946036,0.8533294856070991,0.8620929810108332,0.17674883184423634,0.17051767395024084,nan,0.0,nan,0.2994011976047904,nan,0.1437125748502994,nan,0.5468915865378284,0.3026944456270477,0.00992560762703476,nan,0.017964071856287456,nan,0.0119760479041916,nan,0.8868729606654954,0.0718562874251497,0.32706604573013565,0.13050109711721838,0.017964071856287425,0.13322025842794807,0.20359281437125748,0.40388060617519284,0.4491017964071856,0.023952095808383235,0.017964071856287425,0.75
student-g,0.984772028847245,0.04120534185595259,0.5381384184557941,0.8869054609512624,nan,nan,0.34795976964358016,nan,nan,nan,0.9770992366412213,nan,0.9694656488549618,nan,0.7958195245041159,0.26856899208196305,0.16667073164583524,nan,0.2442748091603053,nan,0.19083969465648853,nan,0.9791387448283899,0.5114503816793893,0.47116836376980636,0.0907792146018933,0.35877862595419846,0.4814833217029406,0.22900763358778625,0.4218072016050645,0.8396946564885496,0.16030534351145037,0.11450381679389313,0.7142857142857143
student-mat,0.9630626573621169,0.09662937796591564,0.5993823261630498,0.8841483004562103,0.9876245044574882,0.02508080816225447,0.4291316193180005,nan,0.2571428571428571,nan,0.959493670886076,nan,0.9443037974683545,nan,0.6980776538017092,0.2705458171235729,0.17141749451267063,nan,0.2683544303797468,nan,0.23037974683544304,nan,0.9927447524435187,0.579746835443038,0.48509562037655124,0.07570142471032872,0.40253164556962023,0.491029862404178,0.3620253164556962,0.48119558100081233,0.9291139240506329,0.0759493670886076,0.030379746835443037,0.4
student-p,0.7485719166711572,0.49372421662424293,0.6024906600249066,0.8596594245449207,nan,nan,0.23573446014049326,nan,nan,nan,0.9236641221374046,nan,0.8396946564885496,nan,0.6122875396090189,0.2508958127914287,0.10422758022094991,nan,0.12213740458015265,nan,0.1145038167938931,nan,0.9494784686207097,0.3893129770992366,0.44764055321414253,0.10681616073193892,0.2748091603053435,0.4481317648690775,0.06870229007633588,0.2539182089588477,0.6106870229007634,0.16030534351145037,0.11450381679389313,0.7142857142857143
student-por,0.7256107138804314,0.5246125015324798,0.5910999962926319,0.8468156137647663,0.977357920487147,0.04322596187113957,0.2419477962049089,nan,0.6964285714285714,nan,0.9969183359013868,nan,0.9953775038520801,nan,0.673628891484905,0.21605604627007927,0.1063019427782782,nan,0.14329738058551622,nan,0.1402157164869029,nan,0.9796914062407259,0.3359013867488444,0.4388005141876738,0.09349647271421235,0.2295839753466872,0.4208896875970356,0.1926040061633282,0.3946488109652322,0.6810477657935285,0.046224961479198766,0.026194144838212634,0.5666666666666667
thoracic,0.6071716548713029,0.6604002425712553,0.4200479231810209,0.8343964070226376,0.9934943428414964,0.007366093788517374,0.571148012592596,nan,0.0,nan,0.9234042553191489,nan,0.8914893617021277,nan,0.7035929950523464,0.24603469456477225,0.12962962960934488,nan,0.14893617021276595,nan,0.14893617021276595,nan,0.9791670439112721,0.33404255319148934,0.3556775093746609,0.20671008024960677,0.225531914893617,0.41837745534542686,0.23404255319148937,0.4238500538178556,0.35106382978723405,0.03404255319148936,0.00425531914893617,0.125
thyroid-v1,0.8941653222632651,0.2503620076082955,0.4144958190767204,0.8220798111179037,nan,nan,0.06901639340129563,nan,nan,nan,0.0,nan,0.0,nan,0.722638456661952,0.24436758928305904,0.0009145895268988236,nan,0.005617977528089901,nan,0.0,nan,0.9189320933103284,0.09363295880149813,0.26972992980253985,0.11655759847002169,0.04307116104868914,0.20320768817298265,0.2640449438202247,0.4412366701691585,0.15543071161048688,0.03932584269662921,0.020599250936329586,0.5238095238095238
tourism-23457vs01,0.3828078949588026,0.8398463091169857,0.40932642487046633,0.8323717114828362,0.9715296950906247,0.04170393039168198,0.26848427318493534,nan,0.0,nan,0.8176795580110497,nan,0.6988950276243094,nan,0.5867291801548798,0.20224213857982584,0.0693966650346518,nan,0.074585635359116,nan,0.074585635359116,nan,0.9182869875766918,0.15193370165745856,0.27439362413645846,0.17518606991757904,0.10497237569060773,0.3069420696773754,0.07734806629834254,0.26751267422091723,0.19337016574585636,0.022099447513812154,0.0027624309392265192,0.125
tourism0,0.7862966893833991,0.43909760106725104,0.39835863089929724,0.8710457446320075,0.9732777280656894,0.03755397644364329,0.5018870853331469,nan,0.11346603504371268,nan,0.9696132596685083,nan,0.93646408839779,nan,0.5983017737018832,0.26693769718701293,0.19013211884505843,nan,0.23480662983425415,nan,0.23480662983425415,nan,0.9844708647477183,0.39779005524861877,0.41879147314450865,0.18403804258526638,0.287292817679558,0.45312563905413256,0.19337016574585636,0.3954873160651217,0.4530386740331492,0.022099447513812154,0.0027624309392265192,0.125
tourism2,0.2232222343677279,0.92560465688284,0.4103266500801328,0.8195619901746224,0.9803982894590215,0.028649329062169774,0.24969954433215247,nan,0.0,nan,0.5165745856353591,nan,0.281767955801105,nan,0.6834774387527379,0.2787699410376079,0.03466485216755788,nan,0.035911602209944715,nan,0.035911602209944715,nan,0.8363984615854216,0.09668508287292818,0.21119498305941306,0.15503851398132548,0.0718232044198895,0.2585523124952249,0.022099447513812154,0.14721048322346156,0.12154696132596685,0.022099447513812154,0.0027624309392265192,0.125
traffic,0.9789596360047793,0.05641463154527038,0.4586324868693683,0.8742951907131011,0.9840190863833991,0.01572750082082712,0.5580373771630872,nan,0.0,nan,0.9555555555555556,nan,0.8148148148148148,nan,0.7402710018762781,0.3138684128743027,0.22061621717334,nan,0.3111111111111111,nan,0.28888888888888886,nan,0.9777229080932784,0.5407407407407407,0.3911523692416432,0.25726240901789216,0.34074074074074073,0.47572353320413246,0.34814814814814815,0.47815751040217674,0.5703703703703704,0.1259259259259259,0.014814814814814815,0.11764705882352941
veteran,0.8975887507715623,0.2434253626579317,0.36383824820534005,0.8827823100042937,0.974218795973976,0.04850951903128165,0.5485320136988165,nan,0.14410487632665994,nan,0.9051094890510949,nan,0.8248175182481752,nan,0.7811986158199148,0.3173546712035849,0.1681300298578815,nan,0.25547445255474455,nan,0.25547445255474455,nan,0.9709094783952261,0.4744525547445255,0.40845298619402,0.18013776643959178,0.3284671532846715,0.471379219311219,0.48905109489051096,0.501714535678699,0.5547445255474452,0.043795620437956206,0.021897810218978103,0.5
